Latitude,Longitude,valid_hours,total_hours,valid_ratio,year,avg_z0
-39.7557,290.2376,4608.0,8748,0.5267489711934157,2010,0.03
-40.0394,297.34069999999997,5527.0,8748,0.6318015546410608,2010,0.03
-37.6862,302.2883,4568.0,8748,0.5221764974851395,2010,0.03
-45.7506,292.3366,6206.0,8748,0.709419295839049,2010,0.03
12.4743,290.1085,8137.0,8748,0.9301554641060814,2010,0.03
-35.0584,117.785,0.0,8748,0.0,2010,0.5745514631271362
-35.0487,117.7546,7497.0,8748,0.8569958847736625,2010,0.5745514631271362
-37.2411,143.0429,3324.0,8748,0.37997256515775035,2010,0.05365407094359398
-30.4146,115.3313,5265.0,8748,0.6018518518518519,2010,0.07387883961200714
-38.7636,145.9143,6809.0,8748,0.7783493369913123,2010,0.5383492112159729
-34.5517,148.7322,4013.0,8748,0.4587334247828075,2010,0.16782745718955994
-27.995,120.4978,7866.0,8748,0.8991769547325102,2010,0.44959530234336853
-37.9491,143.5302,3330.0,8748,0.38065843621399176,2010,0.09612644463777542
-37.9491,143.5302,3330.0,8748,0.38065843621399176,2010,0.09612644463777542
-34.5877,149.3698,3941.0,8748,0.4505029721079104,2010,0.06157830357551575
-33.6199,149.1889,2889.0,8748,0.33024691358024694,2010,0.06376838684082031
-40.7391,144.6906,0.0,8748,0.0,2010,0.03
-40.7294,144.6894,0.0,8748,0.0,2010,0.03
-36.5567,149.1731,1479.0,8748,0.16906721536351166,2010,0.06638680398464203
-36.5567,149.1731,1479.0,8748,0.16906721536351166,2010,0.06638680398464203
-32.3996,149.0609,2841.0,8748,0.3247599451303155,2010,0.06677272170782089
-37.0998,142.9654,3555.0,8748,0.4063786008230453,2010,0.05365407094359398
-37.8097,140.4174,0.0,8748,0.0,2010,0.03
-37.8097,140.4174,0.0,8748,0.0,2010,0.03
-35.1608,149.5246,2341.0,8748,0.26760402377686326,2010,0.09393142908811569
-34.8484,135.5772,6602.0,8748,0.7546867855509831,2010,0.03
-42.1614,146.6882,5047.0,8748,0.5769318701417467,2010,1.5297541618347168
-37.3955,143.1027,3944.0,8748,0.4508459076360311,2010,0.07586022466421127
-37.1018,145.2656,4478.0,8748,0.5118884316415181,2010,1.0796774625778198
-22.8505,149.4532,2230.0,8748,0.2549154092363969,2010,0.07622569054365158
-33.7206,138.151,3216.0,8748,0.3676268861454047,2010,0.04685270041227341
-38.2829,141.955,7379.0,8748,0.8435070873342478,2010,1.1353789567947388
-34.8719,149.3967,3052.0,8748,0.3488797439414723,2010,0.07081042230129242
-31.5509,118.4443,5204.0,8748,0.5948788294467307,2010,0.10374636948108673
-36.4288,143.3604,3676.0,8748,0.4202103337905807,2010,0.07068612426519394
-26.7326,151.4723,2328.0,8748,0.2661179698216735,2010,0.4272812306880951
-26.7326,151.4723,2328.0,8748,0.2661179698216735,2010,0.4272812306880951
-34.5408,149.5965,3593.0,8748,0.41072245084590764,2010,0.6851886510848999
-37.0773,143.1443,3358.0,8748,0.3838591678097851,2010,0.07793918251991272
-32.9348,149.6759,1530.0,8748,0.1748971193415638,2010,0.2813469469547272
-34.8067,149.4009,3475.0,8748,0.3972336534064929,2010,0.07081042230129242
-34.8067,149.4009,3475.0,8748,0.3972336534064929,2010,0.07081042230129242
-26.6375,149.8711,1871.0,8748,0.2138774577046182,2010,0.06946686655282974
-37.8412,142.8759,3909.0,8748,0.44684499314128945,2010,0.156110018491745
-30.4818,115.3399,5018.0,8748,0.5736168267032464,2010,0.07387883961200714
-38.6109,143.1794,6182.0,8748,0.7066758116140832,2010,1.4882347583770752
-33.9928,117.3543,4897.0,8748,0.5597850937357111,2010,0.13837620615959167
-33.5323,149.2537,2687.0,8748,0.3071559213534522,2010,0.06289372593164444
-37.9729,143.783,3448.0,8748,0.3941472336534065,2010,0.04885498061776161
-37.9222,143.6541,3059.0,8748,0.34967992684042065,2010,0.04885498061776161
